arquivo	origem	n	resolucao	dur
5-minutos-01.mp4	5-minutos	01	1080x1920	5.041667
5-minutos-02.mp4	5-minutos	02	1080x1920	5.041667
5-minutos-03.mp4	5-minutos	03	1080x1920	5.041667
5-minutos-04.mp4	5-minutos	04	1080x1920	5.041667
5-minutos-05.mp4	5-minutos	05	1080x1920	5.041667
5-minutos-06.mp4	5-minutos	06	1080x1920	5.041667
5-minutos-07.mp4	5-minutos	07	1080x1920	5.041667
5-minutos-08.mp4	5-minutos	08	1080x1920	5.041667
5-minutos-09.mp4	5-minutos	09	1080x1920	5.041667
5-minutos-10.mp4	5-minutos	10	1080x1920	5.041667
5-minutos-11.mp4	5-minutos	11	1080x1920	5.041667
5-minutos-12.mp4	5-minutos	12	1080x1920	5.041667
ai-slop-01.mp4	ai-slop	01	1080x1920	5.041667
ai-slop-02.mp4	ai-slop	02	1080x1920	5.041667
ai-slop-03.mp4	ai-slop	03	1080x1920	5.041667
ai-slop-04.mp4	ai-slop	04	1080x1920	5.041667
ai-slop-05.mp4	ai-slop	05	1080x1920	5.041667
ai-slop-06.mp4	ai-slop	06	1080x1920	5.041667
ai-slop-07.mp4	ai-slop	07	1080x1920	5.041667
ai-slop-08.mp4	ai-slop	08	1080x1920	5.041667
ai-slop-09.mp4	ai-slop	09	1080x1920	5.041667
ai-slop-10.mp4	ai-slop	10	1080x1920	5.041667
ai-slop-11.mp4	ai-slop	11	1080x1920	5.041667
ai-slop-12.mp4	ai-slop	12	1080x1920	5.041667
ai-slop-13.mp4	ai-slop	13	1080x1920	5.041667
assistir-01.mp4	assistir	01	768x1152	5.100000
assistir-02.mp4	assistir	02	768x1152	5.100000
assistir-03.mp4	assistir	03	768x1152	5.100000
assistir-04.mp4	assistir	04	768x1152	5.100000
assistir-05.mp4	assistir	05	768x1152	5.100000
assistir-06.mp4	assistir	06	768x1152	5.100000
assistir-07.mp4	assistir	07	768x1152	5.100000
assistir-08.mp4	assistir	08	768x1152	5.100000
assistir-09.mp4	assistir	09	768x1152	5.100000
assistir-10.mp4	assistir	10	768x1152	5.100000
assistir-11.mp4	assistir	11	768x1152	5.100000
assistir-12.mp4	assistir	12	768x1152	5.100000
assistir-13.mp4	assistir	13	768x1152	5.100000
claude-smb-01.mp4	claude-smb	01	704x1248	5.100000
claude-smb-02.mp4	claude-smb	02	704x1248	5.100000
claude-smb-03.mp4	claude-smb	03	704x1248	5.100000
claude-smb-04.mp4	claude-smb	04	704x1248	5.100000
claude-smb-05.mp4	claude-smb	05	704x1248	5.100000
claude-smb-06.mp4	claude-smb	06	704x1248	5.100000
claude-smb-07.mp4	claude-smb	07	704x1248	5.100000
claude-smb-08.mp4	claude-smb	08	704x1248	5.100000
claude-smb-09.mp4	claude-smb	09	704x1248	5.100000
claude-smb-10.mp4	claude-smb	10	704x1248	5.100000
claude-smb-11.mp4	claude-smb	11	704x1248	5.100000
claude-smb-12.mp4	claude-smb	12	704x1248	5.100000
contratacao-errada-01.mp4	contratacao-errada	01	716x1284	5.041667
contratacao-errada-02.mp4	contratacao-errada	02	716x1284	5.041667
contratacao-errada-03.mp4	contratacao-errada	03	716x1284	5.041667
contratacao-errada-04.mp4	contratacao-errada	04	716x1284	5.041667
contratacao-errada-05.mp4	contratacao-errada	05	716x1284	5.041667
contratacao-errada-06.mp4	contratacao-errada	06	716x1284	5.041667
contratacao-errada-07.mp4	contratacao-errada	07	716x1284	5.041667
crm-01.mp4	crm	01	768x1152	5.100000
crm-02.mp4	crm	02	768x1152	5.100000
crm-03.mp4	crm	03	768x1152	5.100000
crm-04.mp4	crm	04	768x1152	5.100000
crm-05.mp4	crm	05	768x1152	5.100000
crm-06.mp4	crm	06	768x1152	5.100000
crm-07.mp4	crm	07	768x1152	5.100000
crm-08.mp4	crm	08	768x1152	5.100000
crm-09.mp4	crm	09	768x1152	5.100000
crm-10.mp4	crm	10	768x1152	5.100000
crm-11.mp4	crm	11	768x1152	5.100000
crm-12.mp4	crm	12	768x1152	5.100000
crm-13.mp4	crm	13	768x1152	5.100000
crm-14.mp4	crm	14	768x1152	5.100000
desvio-fable-01.mp4	desvio-fable	01	1080x1920	5.041667
desvio-fable-02.mp4	desvio-fable	02	1080x1920	5.041667
desvio-fable-03.mp4	desvio-fable	03	1080x1920	5.041667
desvio-fable-04.mp4	desvio-fable	04	1080x1920	5.041667
desvio-fable-05.mp4	desvio-fable	05	1080x1920	5.041667
desvio-fable-06.mp4	desvio-fable	06	1080x1920	5.041667
desvio-fable-07.mp4	desvio-fable	07	1080x1920	5.041667
desvio-fable-08.mp4	desvio-fable	08	1080x1920	5.041667
desvio-fable-09.mp4	desvio-fable	09	1080x1920	5.041667
desvio-fable-10.mp4	desvio-fable	10	1080x1920	5.041667
desvio-fable-11.mp4	desvio-fable	11	1080x1920	5.041667
desvio-fable-12.mp4	desvio-fable	12	1080x1920	5.041667
desvio-fable-13.mp4	desvio-fable	13	1080x1920	5.041667
fable-maestro-01.mp4	fable-maestro	01	1080x1920	5.041667
fable-maestro-02.mp4	fable-maestro	02	1080x1920	5.041667
fable-maestro-03.mp4	fable-maestro	03	1080x1920	5.041667
fable-maestro-04.mp4	fable-maestro	04	1080x1920	5.041667
fable-maestro-05.mp4	fable-maestro	05	1080x1920	5.041667
fable-maestro-06.mp4	fable-maestro	06	1080x1920	5.041667
fable-maestro-07.mp4	fable-maestro	07	1080x1920	5.041667
fable-maestro-08.mp4	fable-maestro	08	1080x1920	5.041667
fable-maestro-09.mp4	fable-maestro	09	1080x1920	5.041667
fable-maestro-10.mp4	fable-maestro	10	1080x1920	5.041667
fable-maestro-11.mp4	fable-maestro	11	1080x1920	5.041667
fantasma-01.mp4	fantasma	01	704x1248	5.100000
fantasma-02.mp4	fantasma	02	704x1248	5.100000
fantasma-03.mp4	fantasma	03	704x1248	5.100000
fantasma-04.mp4	fantasma	04	704x1248	5.100000
fantasma-05.mp4	fantasma	05	704x1248	5.100000
fantasma-06.mp4	fantasma	06	704x1248	5.100000
fantasma-07.mp4	fantasma	07	704x1248	5.100000
fantasma-08.mp4	fantasma	08	704x1248	5.100000
fantasma-09.mp4	fantasma	09	704x1248	5.100000
fantasma-10.mp4	fantasma	10	704x1248	5.100000
fantasma-11.mp4	fantasma	11	704x1248	5.100000
fantasma-12.mp4	fantasma	12	704x1248	5.100000
goal-01.mp4	goal	01	1080x1920	5.041667
goal-02.mp4	goal	02	1080x1920	5.041667
goal-03.mp4	goal	03	1080x1920	5.041667
goal-04.mp4	goal	04	1080x1920	5.041667
goal-05.mp4	goal	05	1080x1920	5.041667
goal-06.mp4	goal	06	1080x1920	5.041667
goal-07.mp4	goal	07	1080x1920	5.041667
goal-08.mp4	goal	08	1080x1920	5.041667
goal-09.mp4	goal	09	1080x1920	5.041667
goal-10.mp4	goal	10	1080x1920	5.041667
goal-11.mp4	goal	11	1080x1920	5.041667
goal-12.mp4	goal	12	1080x1920	5.041667
persona-01.mp4	persona	01	720x1280	5.100000
persona-02.mp4	persona	02	720x1280	5.100000
persona-03.mp4	persona	03	720x1280	5.100000
persona-04.mp4	persona	04	720x1280	5.100000
persona-05.mp4	persona	05	720x1280	5.100000
persona-06.mp4	persona	06	720x1280	5.100000
persona-07.mp4	persona	07	720x1280	5.100000
persona-08.mp4	persona	08	720x1280	5.100000
persona-09.mp4	persona	09	720x1280	5.100000
persona-10.mp4	persona	10	720x1280	5.100000
persona-11.mp4	persona	11	720x1280	5.100000
privado-01.mp4	privado	01	704x1248	5.100000
privado-02.mp4	privado	02	704x1248	5.100000
privado-03.mp4	privado	03	704x1248	5.100000
privado-04.mp4	privado	04	704x1248	5.100000
privado-05.mp4	privado	05	704x1248	5.100000
privado-06.mp4	privado	06	704x1248	5.100000
privado-07.mp4	privado	07	704x1248	5.100000
privado-08.mp4	privado	08	704x1248	5.100000
privado-09.mp4	privado	09	704x1248	5.100000
privado-10.mp4	privado	10	704x1248	5.100000
privado-11.mp4	privado	11	704x1248	5.100000
privado-12.mp4	privado	12	704x1248	5.100000
quanto-custa-a-hora-01.mp4	quanto-custa-a-hora	01	720x1280	5.100000
quanto-custa-a-hora-02.mp4	quanto-custa-a-hora	02	720x1280	5.100000
quanto-custa-a-hora-03.mp4	quanto-custa-a-hora	03	720x1280	5.100000
quanto-custa-a-hora-04.mp4	quanto-custa-a-hora	04	720x1280	5.100000
quanto-custa-a-hora-05.mp4	quanto-custa-a-hora	05	716x1284	5.041667
quanto-custa-a-hora-06.mp4	quanto-custa-a-hora	06	716x1284	5.041667
quanto-custa-a-hora-07.mp4	quanto-custa-a-hora	07	716x1284	5.041667
radar-01.mp4	radar	01	720x1280	5.100000
radar-02.mp4	radar	02	720x1280	5.100000
radar-03.mp4	radar	03	720x1280	5.100000
radar-04.mp4	radar	04	720x1280	5.100000
radar-05.mp4	radar	05	720x1280	5.100000
radar-06.mp4	radar	06	720x1280	5.100000
radar-07.mp4	radar	07	720x1280	5.100000
radar-08.mp4	radar	08	720x1280	5.100000
radar-09.mp4	radar	09	720x1280	5.100000
radar-10.mp4	radar	10	720x1280	5.100000
radar-11.mp4	radar	11	720x1280	5.100000
remotion-01.mp4	remotion	01	768x1152	5.100000
remotion-02.mp4	remotion	02	768x1152	5.100000
remotion-03.mp4	remotion	03	768x1152	5.100000
remotion-04.mp4	remotion	04	768x1152	5.100000
remotion-05.mp4	remotion	05	768x1152	5.100000
remotion-06.mp4	remotion	06	768x1152	5.100000
remotion-07.mp4	remotion	07	768x1152	5.100000
remotion-08.mp4	remotion	08	768x1152	5.100000
remotion-09.mp4	remotion	09	768x1152	5.100000
remotion-10.mp4	remotion	10	768x1152	5.100000
remotion-11.mp4	remotion	11	768x1152	5.100000
remotion-12.mp4	remotion	12	768x1152	5.100000
remotion-13.mp4	remotion	13	768x1152	5.100000
remotion-14.mp4	remotion	14	768x1152	5.100000
remotion-15.mp4	remotion	15	768x1152	5.100000
reuniao-que-se-repete-01.mp4	reuniao-que-se-repete	01	716x1284	5.041667
reuniao-que-se-repete-02.mp4	reuniao-que-se-repete	02	716x1284	5.041667
reuniao-que-se-repete-03.mp4	reuniao-que-se-repete	03	716x1284	5.041667
reuniao-que-se-repete-04.mp4	reuniao-que-se-repete	04	716x1284	5.041667
reuniao-que-se-repete-05.mp4	reuniao-que-se-repete	05	716x1284	5.041667
reuniao-que-se-repete-06.mp4	reuniao-que-se-repete	06	716x1284	5.041667
reuniao-que-se-repete-07.mp4	reuniao-que-se-repete	07	716x1284	5.041667
reuniao-que-se-repete-08.mp4	reuniao-que-se-repete	08	716x1284	5.041667
revisor-01.mp4	revisor	01	720x1280	5.100000
revisor-02.mp4	revisor	02	720x1280	5.100000
revisor-03.mp4	revisor	03	720x1280	5.100000
revisor-04.mp4	revisor	04	720x1280	5.100000
revisor-05.mp4	revisor	05	720x1280	5.100000
revisor-06.mp4	revisor	06	720x1280	5.100000
revisor-07.mp4	revisor	07	720x1280	5.100000
revisor-08.mp4	revisor	08	720x1280	5.100000
revisor-09.mp4	revisor	09	720x1280	5.100000
revisor-10.mp4	revisor	10	720x1280	5.100000
revisor-11.mp4	revisor	11	720x1280	5.100000
segundo-cerebro-01.mp4	segundo-cerebro	01	1080x1920	5.041667
segundo-cerebro-02.mp4	segundo-cerebro	02	1080x1920	5.041667
segundo-cerebro-03.mp4	segundo-cerebro	03	1080x1920	5.041667
segundo-cerebro-04.mp4	segundo-cerebro	04	1080x1920	5.041667
segundo-cerebro-05.mp4	segundo-cerebro	05	1080x1920	5.041667
segundo-cerebro-06.mp4	segundo-cerebro	06	1080x1920	5.041667
segundo-cerebro-07.mp4	segundo-cerebro	07	1080x1920	5.041667
segundo-cerebro-08.mp4	segundo-cerebro	08	1080x1920	5.041667
segundo-cerebro-09.mp4	segundo-cerebro	09	1080x1920	5.041667
segundo-cerebro-10.mp4	segundo-cerebro	10	1080x1920	5.041667
segundo-cerebro-11.mp4	segundo-cerebro	11	1080x1920	5.041667
segundo-cerebro-12.mp4	segundo-cerebro	12	1080x1920	5.041667
segundo-cerebro-13.mp4	segundo-cerebro	13	1080x1920	5.041667
tag-01.mp4	tag	01	768x1152	5.100000
tag-02.mp4	tag	02	768x1152	5.100000
tag-03.mp4	tag	03	768x1152	5.100000
tag-04.mp4	tag	04	768x1152	5.100000
tag-05.mp4	tag	05	768x1152	5.100000
tag-06.mp4	tag	06	768x1152	5.100000
tag-07.mp4	tag	07	768x1152	5.100000
tag-08.mp4	tag	08	768x1152	5.100000
tag-09.mp4	tag	09	768x1152	5.100000
tag-10.mp4	tag	10	768x1152	5.100000
tag-11.mp4	tag	11	768x1152	5.100000
tag-12.mp4	tag	12	768x1152	5.100000
